formal_pool_rank,rank,symbol,name,scan_theme,trade_group,parent_group,scan_rank_60d_dollar_volume,median_dollar_volume_60d,in_execution_pool,strategy_pool_eligible,auto_buy,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs,admission_stage,admission_rule,strategy_action,note
13,14,WDC,Western Digital Corporation - Common Stock,memory_storage,storage_hdd_ssd,us_semiconductor,22.0,2654565205.595398,True,True,False,1.13800615740003,62.358032373784496,102.65333979252532,212.3412228253382,3635584797.280884,20.497006522751416,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
14,17,HPE,Hewlett Packard Enterprise Company Common Stock,server_network,ai_server_hardware,us_ai_hardware,250.0,393331667.0117378,True,True,False,1.032442530497641,40.26627490402031,117.62912341678016,90.74211046998772,1463371111.7088318,195.72364913912045,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
15,18,FLEX,Flex Ltd. - Ordinary Shares,electronics_manufacturing,us_unclassified_stock,us_unclassified,337.0,295275706.10141754,False,True,False,1.017827712007225,12.23387759671759,140.11059609014615,121.88321969804971,772446023.110199,58.154225163007744,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
16,19,AMD,"Advanced Micro Devices, Inc. - Common Stock",ai_compute,ai_gpu_accelerator,us_semiconductor,8.0,9888385481.311035,True,True,False,1.0171617656919445,20.0612206172504,147.0162833205328,120.39979377706884,15926820657.202148,14.466565072373804,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
17,20,NBIS,Nebius Group N.V. - Class A Ordinary Shares,cloud_ai_infra,us_unclassified_stock,us_unclassified,29.0,2256853697.172928,False,True,False,0.9462204604755132,49.45782061035791,105.70159534423338,130.51550363181642,3931336918.917084,45.358881126206384,416,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
18,23,NVTS,Navitas Semiconductor Corporation - Common Stock,power_semiconductor,us_unclassified_stock,us_unclassified,240.0,423525182.6161861,False,True,False,0.9302531132881718,4.4802118177464045,122.54509121446132,142.20282333355038,690803369.5964813,14.33272085372721,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
19,25,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,ai_data_center_connectivity,us_unclassified_stock,us_unclassified,94.0,932664772.3220824,False,True,False,0.9156564770436784,48.55721549858709,137.3039441514916,55.47596465093356,2067931090.5975344,61.98438573745808,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
20,28,GFS,GlobalFoundries Inc. - Ordinary Share,semi_foundry_idm,semi_foundry_idm,us_semiconductor,506.0,192964738.5169983,True,True,False,0.7874835502124458,21.245939710432204,94.13319924872752,102.05205133536364,397870953.26156616,66.26214583389842,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
21,33,LRCX,Lam Research Corporation - Common Stock,semi_equipment,semi_equipment,us_semiconductor,26.0,2381657240.762329,True,True,False,0.7202536038457779,33.19182903302145,72.92700917763437,118.74365182908404,3424347574.4674683,28.839274907670266,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
22,34,POWL,"Powell Industries, Inc. - Common Stock",thermal_power,transformer,us_industrial,660.0,140572828.6605835,True,True,False,0.7136334568008041,9.647675923909738,69.75620838786953,152.7732056425246,147751728.2470703,-1.4978468987398077,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
23,35,AMAT,"Applied Materials, Inc. - Common Stock",semi_equipment,semi_equipment,us_semiconductor,27.0,2304604427.575684,True,True,False,0.7080734018225199,44.75276195101179,64.06056165728735,107.38830160956084,4678470526.805115,61.82459643880112,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
24,43,NTAP,"NetApp, Inc. - Common Stock",server_network,us_unclassified_stock,us_unclassified,446.0,224111638.57269287,True,True,False,0.5905847047295828,34.24393130633548,66.40044176988016,38.17473518800274,561006472.6760864,127.85801618244426,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
25,45,RKLB,Rocket Lab Corporation - Common Stock,space_ev_defense,us_unclassified_stock,us_unclassified,42.0,1749003281.39534,True,True,False,0.5815023418843472,-20.137027972401462,67.88064087804206,114.823129559627,3064998084.723664,29.255689978893383,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
26,46,DDOG,"Datadog, Inc. - Class A Common Stock",us981a_ai_theme,saas_software,us_technology,159.0,587950873.5557556,True,True,False,0.5782757404354676,5.069729659040401,84.20886972887214,53.52952366017298,1313925724.812317,55.37255818702971,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
27,48,FTNT,"Fortinet, Inc. - Common Stock",us981a_ai_theme,cybersecurity,us_technology,202.0,486956494.719696,True,True,False,0.5731130739105356,11.330765944260811,71.87203191473301,73.72454797436376,838772589.3630981,42.71602846980602,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
28,50,LITE,Lumentum Holdings Inc. - Common Stock,optical_communication,us_unclassified_stock,us_unclassified,15.0,4830532777.377319,False,True,False,0.5684464381788965,-2.081630187859917,44.39286274376934,146.88204146369537,5294265550.57373,5.636712548415801,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
29,53,PL,Planet Labs PBC Class A Common Stock,space_ev_defense,us_unclassified_stock,us_unclassified,260.0,377354588.3394241,False,True,False,0.5497040838886363,-33.82559858600457,36.84420948570257,166.12147790401997,623012695.5161095,36.25264361493401,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
30,66,IESC,"IES Holdings, Inc. - Common Stock",grid_engineering,us_unclassified_stock,us_unclassified,756.0,110421365.41748048,True,True,False,0.4856874583707915,8.61590677333146,67.92882137539466,61.1036452084748,136255961.03515625,10.01683561366562,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
31,73,CSCO,"Cisco Systems, Inc. - Common Stock",server_network,datacenter_networking,us_ai_hardware,49.0,1644573532.302475,True,True,False,0.4484690095983302,4.538699178540706,57.56387930046913,54.880638094376245,2844793502.749634,43.15255915319709,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
32,74,ASML,ASML Holding N.V. - New York Registry Shares,semi_equipment,semi_equipment,us_semiconductor,25.0,2450085714.72168,True,True,False,0.4438152097894525,24.485046262737043,40.8447058167569,71.50183663716408,3424684077.4414062,32.289349495662265,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
33,76,MOD,Modine Manufacturing Company Common Stock,thermal_power,us_unclassified_stock,us_unclassified,429.0,232553752.52456665,True,True,False,0.4369256171124223,15.559791176407444,41.46304388406597,77.51553787706393,344712840.0405884,25.433492588650815,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
34,80,FIX,"Comfort Systems USA, Inc. Common Stock",thermal_power,us_unclassified_stock,us_unclassified,156.0,614258626.0375977,True,True,False,0.4137914737799519,7.1860149883304025,34.24050490006876,87.58455874429507,864624839.7399902,26.375774892243985,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
35,85,CIEN,Ciena Corporation Common Stock,server_network,datacenter_networking,us_ai_hardware,72.0,1161695579.6478271,True,True,False,0.4004707548782131,-22.80986486361598,32.1794433302876,107.70701588209612,1665308615.4922483,32.01544991391059,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
36,86,NVT,nVent Electric plc Ordinary Shares,thermal_power,us_unclassified_stock,us_unclassified,347.0,288095322.1748352,True,True,False,0.3913478859724614,9.366121095355927,52.74160059765099,53.6707148649785,292064822.07870483,1.1016539298739358,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
37,94,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",us981a_ai_theme,cybersecurity,us_technology,57.0,1412893160.5499268,True,True,False,0.3745760306355946,5.34524938594938,56.61775058069725,33.50516532918311,2021001498.8586423,25.34274092760045,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
38,96,POET,POET Technologies Inc. - Common Shares,optical_communication,us_unclassified_stock,us_unclassified,607.0,156610208.99891853,False,True,False,0.3647091522590444,-17.794317739897657,51.20967625641302,63.04347600738587,447153164.3928051,12.245554566516391,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
39,107,QCOM,QUALCOMM Incorporated - Common Stock,us981a_ai_theme,asic_network_chip,us_semiconductor,55.0,1511732939.7472382,True,True,False,0.335958958006479,11.653748824095178,54.75411068189746,16.058578349956587,4841191142.669678,26.111516414858627,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
40,121,CAT,"Caterpillar, Inc. Common Stock",us981a_ai_theme,industrial_machinery,us_industrial,40.0,1854174817.236328,True,True,False,0.299365217708083,12.980197359783196,28.35046692390688,51.66618850214741,2477987838.2263184,16.66225057556716,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
41,144,DY,"Dycom Industries, Inc. Common Stock",grid_engineering,us_unclassified_stock,us_unclassified,624.0,150945744.0032959,True,True,False,0.2519837524026222,10.627936248588355,30.040589873819123,33.80087519293773,201387714.7079468,11.04303749091513,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
42,145,MTZ,"MasTec, Inc. Common Stock",grid_engineering,us_unclassified_stock,us_unclassified,340.0,292883242.6208496,True,True,False,0.2513560054479197,-1.1842450467612895,20.72739022150858,62.67356024001953,343463154.32891846,3.767338944604859,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
43,147,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,semi_foundry_idm,semi_foundry_idm,us_semiconductor,14.0,4933452821.685791,True,True,False,0.240743609166872,15.063991020254576,25.406580490226105,39.54595853294123,4756747173.475647,-2.578881412007694,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
44,154,VRT,"Vertiv Holdings, LLC Class A Common Stock",thermal_power,backup_power,us_industrial,43.0,1731589590.0039673,True,True,False,0.2344143990775931,5.50574132034658,12.24995263922315,66.99682482098441,1694588647.845459,0.7860675079348178,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
